,우엉두부잡채,ueong dubu japchae,ウオンドゥブジャプチェ,牛蒡豆腐什锦炒菜
,원방쌍화차,Wonbang ssanghwacha,ウォンバンサンファチャ,原方双和茶
,원판피자,wonpan pizza,ウォンパンピザ,整张披萨
,으깬감자샐러드,eukkaen gamja salad,ウケンガムジャ・セルロドゥ,土豆泥沙拉
,우거지갈비탕,ugeoji galbi tang,ウゴジ・ガルビタン,干白菜排骨汤
,우거지갈빗국,ugeoji galbitguk,ウゴジ・ガルビックク,干白菜排骨汤
,우거지국밥,ugeoji gukbap,ウゴジ・グクパプ,干白菜汤饭
,우거지된장국,ugeoji doenjang guk,ウゴジ・デンジャンクク,干白菜大酱清汤
,우거지해장국,ugeoji haejangguk,ウゴジ・ヘジャンクク,干白菜醒酒汤
,우거지사골국밥,ugeoji sagol gukbap,ウゴジサゴル・グクパプ,干白菜牛骨汤饭
,우거지사골곰탕,ugeoji sagol gomtang,ウゴジサゴル・ゴムタン,干白菜精熬牛骨汤
,우거지순대국밥,ugeoji sundae gukbap,ウゴジスンデ・グクパプ,干白菜血肠汤饭
,우거지 추어탕,ugeoji chueotang,ウゴジチュオタン,干白菜泥鳅汤
,우거짓국,ugeojitguk,ウゴジックク,干白菜汤
,우삼겹,usamgyeop,ウサムギョプ,牛五花肉
,우족탕,ujok tang,ウジョクタン,牛蹄汤
,우동,udon,ウドン,乌冬面
,우동,udon,ウドン,乌冬面
,우동정식,udon jeongsik,ウドン・ジョンシク,乌冬面套餐
,우동코너,udon corner,ウドンコノ,乌冬面摊位
,은어구이,euneo gui,ウノグイ,烤香鱼
,은어튀김,euneo twigim,ウノティギム,炸香鱼
,은어회,euneo hoe,ウノフェ,香鱼生鱼片
,우보탕,ubotang,ウボタン,黄牛养生汤
,우마이 닭다리살 덮밥,umai dak dari sal deopbap,ウマイダクタリサル・ドッパプ,美味鸡腿肉盖饭
,우마이 흑돼지 치즈돈까스,umai heukdwaeji cheese dongaseu,ウマイフクテジ・チズドンカス,美味奶酪炸黑猪排
,우마이 흑돼지 돈까스,umai heukdwaeji dongaseu,ウマイフクテジ・ドンカス,美味炸黑猪排
,우메가에모찌,umegae mochi,ウメガエモチ,梅枝糕
,우육탕면,uyuk tangmyeon,ウユク・タンミョン,牛肉汤面
,우유식빵,uyu sikppang,ウユシクパン,牛奶土司
,우리쌀뻥튀기,uri ssal ppeongtwigi,ウリサルポンティギ,韩国爆米花
,우리소고기마을,uri sogogi maeul,ウリソゴギマウル,韩牛村
,우리돈생삼겹살,uri don saeng samgyeopsal,ウリドン・センサムギョプサル,韩式猪五花肉
,우리밀통밀빵,urimil tongmil ppang,ウリミルトンミルパン,全麦面包
,우리밀핫도그,urimil hot dog,ウリミルハットグ,韩式荞麦热狗
,울자장,ul jajang,ウルジャジャン,打卤炸酱面
,울면,ulmyeon,ウルミョン,温卤面
,우럭,ureok,ウロク,石斑鱼
,우럭지리탕,ureok jiri tang,ウロク・チリタン,石斑鱼清汤
,우럭매운탕,ureok maeuntang,ウロク・メウンタン,辣味石斑鱼汤
,우럭탕,ureok tang,ウロクタン,石斑鱼汤
,우럭찜,ureok jjim,ウロクチム,清蒸石斑鱼
,우럭젓국,ureok jeot guk,ウロクチョックク,石斑鱼酱汤
,우럭튀김,ureok twigim,ウロクティギム,炸石斑鱼
,우럭통매운탕,ureok tong maeuntang,ウロクトン・メウンタン,辣味石斑鱼汤
,우럭구이,ureok gui,ウロックイ,烤石斑鱼
,우럭회,ureok hoe,ウロッケ,石斑鱼生鱼片
,우렁된장찌개,ureong doenjang jjigae,ウロン・デンジャンチゲ,田螺大酱汤
,우렁쌈밥,ureong ssambap,ウロンサンパプ,田螺生菜包饭
,우롱차,oolong cha,ウロンチャ,乌龙茶
,우렁된장비빔밥,ureong doenjang bibimbap,ウロンデンジャン・ビビンパプ,田螺大酱拌饭
,우렁된장찌개정식,ureong doenjang jjigae jeongsik,ウロンデンジャンチゲ・ジョンシク,田螺大酱汤套餐
,우렁돌솥쌈밥,ureong dolsot ssambap ,ウロンドルソッサンバプ,田螺石锅蔬菜包饭
,우렁회덮밥,ureong hoe deopbap,ウロンフェドッパプ,凉拌田螺刺身盖饭
,우렁회 무침,ureong hoe muchim,ウロンフェムチム,凉拌田螺刺身
,우렁버섯된장찌개,ureong beoseot doenjang jjigae,ウロンボソッ・テンジャンチゲ,田螺蘑菇大酱汤
,우렁야채무침,ureong yachae muchim,ウロンヤチェ・ムチム,蔬菜拌田螺
,은대구조림,eundaegu jorim,ウンデグジョリム,酱炖银鳕鱼
,은행,eunhaeng,ウンヘン,银杏
,은행탕,eunhaeng tang,ウンヘンタン,拔丝白果
,은복,eunbok,ウンボク,怀氏兔头鲀
,은복찜,eunbok jjim,ウンボクチム,辣炖怀氏兔头鲀
,에이드,ade ,エイドゥ,汽水
,에스프레소,espresso,エスプレソ,意式浓缩咖啡
,에스프레소 커피,espresso coffee,エスプレソコピ,意式浓缩咖啡
,애탕국,aetangguk,エタンクク,艾蒿汤
,애플스트루들,apple strudel,エプルストゥロドゥル,苹果馅奶酪卷
,애호박찌개,aehobak jjigae,エホバクチゲ,西葫芦锅
,애호박죽,aehobak juk,エホバクチュク,西葫芦粥
,애호박전,aehobak jeon,エホバクチョン,西葫芦煎饼
,애호박낙지볶음,aehobak nakji bokkeum,エホバクナクチ・ボクム,西葫芦炒章鱼
,LA갈비찜,LA galbi jjim,エレイ・ガルビチム,炖LA排骨
,LA갈비구이,LA galbi gui,エレイガルビグイ,烤LA排骨
,엔젤도시락,Angel Dosirak,エンジェルドシラク,天使盒饭(包括蔬菜炒饭、炸猪排、沙拉、油炸什锦)
,엔젤도시락 ,Angel Dosirak,エンジェルドシラク,天使盒饭(包括蔬菜炒饭、炸猪排、沙拉、油炸什锦)
,어(魚)칼국수,eo kalguksu,オ・カルグクス,鱼汤刀切面
,오이냉국,oi naengguk,オイ・ネンクク,黄瓜凉汤
,오이김치,oi kimchi,オイキムチ,黄瓜泡菜
,오이김밥,oi gimbap,オイギンパプ,黄瓜紫菜包饭
,오이지,oi ji,オイジ,腌黄瓜
,오이장아찌,oi jangajji,オイジャンアチ,黄瓜酱菜
,오이소주,oi soju,オイソジュ,黄瓜烧酒
,오이소박이,oi sobagi,オイソバギ,黄瓜泡菜
,오이선,oi seon,オイソン,黄瓜膳
,오이통지 ,oi tongji,オイトンジ,黄瓜泡菜
,오이냉채,oi naengchae,オイネンチェ,黄瓜冷盘
,오이백김치,oi baekkimchi,オイペッキムチ,黄瓜白泡菜
,오이미역냉국,oi miyeok naengguk,オイミヨク・ネンクク,黄瓜海带凉汤
,오가닉샌드위치 ,organic sandwich,オガニクセンドゥウィチ,有机健康三明治
,오가피장아찌,ogapi jangajji,オガピジャンアチ,五加皮酱菜
,오가피주,ogapi ju,オガピジュ,五加皮酒
,옥수수,oksusu,オクスス,玉米
